,id,name,total_items_in_this_category,mother_id,mother_name
251,MLA5160,Textil y Calzado,20181,MLA1499,Industrias y Oficinas
252,MLA12555,Uniformes,2936,MLA1499,Industrias y Oficinas
253,MLA1893,Otros,10449,MLA1499,Industrias y Oficinas
254,MLA374730,Camas Náuticas,296,MLA1459,Inmuebles
255,MLA1496,Campos,6096,MLA1459,Inmuebles
256,MLA1466,Casas,165593,MLA1459,Inmuebles
257,MLA50541,Cocheras,9139,MLA1459,Inmuebles
258,MLA392265,Consultorios,488,MLA1459,Inmuebles
259,MLA1472,Departamentos,264347,MLA1459,Inmuebles
260,MLA1475,Depósitos y Galpones,11225,MLA1459,Inmuebles
261,MLA50545,Fondo de Comercio,3529,MLA1459,Inmuebles
262,MLA79242,Locales,22103,MLA1459,Inmuebles
263,MLA50538,Oficinas,16889,MLA1459,Inmuebles
264,MLA50544,"Parcelas, Nichos y Bóvedas",346,MLA1459,Inmuebles
265,MLA105179,PH,24052,MLA1459,Inmuebles
266,MLA50547,Quintas,5595,MLA1459,Inmuebles
267,MLA1493,Terrenos y Lotes,82065,MLA1459,Inmuebles
268,MLA50536,Tiempo Compartido,378,MLA1459,Inmuebles
269,MLA1892,Otros Inmuebles,6699,MLA1459,Inmuebles
270,MLA3024,Baterías y Percusión,67111,MLA1182,Instrumentos Musicales
271,MLA435173,Equipos de DJ y Accesorios,4225,MLA1182,Instrumentos Musicales
272,MLA434917,Estudio de Grabación,1187,MLA1182,Instrumentos Musicales
273,MLA4611,Instrumentos de Cuerdas,105345,MLA1182,Instrumentos Musicales
274,MLA3005,Instrumentos de Viento,19494,MLA1182,Instrumentos Musicales
275,MLA434818,Metrónomos,410,MLA1182,Instrumentos Musicales
276,MLA434816,Micrófonos y Amplificadores,27453,MLA1182,Instrumentos Musicales
277,MLA434927,Parlantes y Bafles,2173,MLA1182,Instrumentos Musicales
278,MLA3360,Partituras y Letras,12540,MLA1182,Instrumentos Musicales
279,MLA434786,Pedales y Accesorios,27114,MLA1182,Instrumentos Musicales
280,MLA2100,Teclados y Pianos,21704,MLA1182,Instrumentos Musicales
281,MLA3014,Otros,1861,MLA1182,Instrumentos Musicales
282,MLA431676,Exhibidores y Joyeros,3239,MLA3937,Joyas y Relojes
283,MLA404419,Insumos para Joyería,3506,MLA3937,Joyas y Relojes
284,MLA1431,Joyas y Bijouterie,203179,MLA3937,Joyas y Relojes
285,MLA431678,Piedras Preciosas,1766,MLA3937,Joyas y Relojes
286,MLA437168,Piercings,2561,MLA3937,Joyas y Relojes
287,MLA431891,Plumas y Lapiceras de Lujo,879,MLA3937,Joyas y Relojes
288,MLA6750,Pulsómetros y Cronómetros,444,MLA3937,Joyas y Relojes
289,MLA431677,Relojes,93223,MLA3937,Joyas y Relojes
290,MLA417301,Repuestos para Relojes,7411,MLA3937,Joyas y Relojes
291,MLA399230,Smartwatch,769,MLA3937,Joyas y Relojes
292,MLA3938,Otros,2963,MLA3937,Joyas y Relojes
293,MLA352344,Armas y Lanzadores de Juguete,9443,MLA1132,Juegos y Juguetes
294,MLA1157,Bloques y Construcción,20532,MLA1132,Juegos y Juguetes
295,MLA433060,Casas y Carpas para Niños,4984,MLA1132,Juegos y Juguetes
296,MLA418284,"Dibujo, Pintura y Manualidades",23049,MLA1132,Juegos y Juguetes
297,MLA2967,Electrónicos para Niños,7722,MLA1132,Juegos y Juguetes
298,MLA1831,"Figuritas, Álbumes y Cromos",37632,MLA1132,Juegos y Juguetes
299,MLA432873,Hobbies,56486,MLA1132,Juegos y Juguetes
300,MLA11229,Instrumentos Musicales,7164,MLA1132,Juegos y Juguetes
301,MLA433069,Juegos de Agua y Playa,22629,MLA1132,Juegos y Juguetes
302,MLA432988,Juegos de Mesa y Cartas,138770,MLA1132,Juegos y Juguetes
303,MLA1167,Juegos de Plaza y Aire Libre,11674,MLA1132,Juegos y Juguetes
304,MLA4696,Juegos de Salón,7819,MLA1132,Juegos y Juguetes
305,MLA432991,Juguetes Antiestrés e Ingenio,8794,MLA1132,Juegos y Juguetes
306,MLA416865,Juguetes de Bromas,1091,MLA1132,Juegos y Juguetes
307,MLA432818,Juguetes de Oficios,20117,MLA1132,Juegos y Juguetes
308,MLA3655,Juguetes para Bebés,19974,MLA1132,Juegos y Juguetes
309,MLA37615,Mesas y Sillas para Niños,3512,MLA1132,Juegos y Juguetes
310,MLA432888,Muñecos y Muñecas,218780,MLA1132,Juegos y Juguetes
311,MLA12087,Patines y Patinetas,1100,MLA1132,Juegos y Juguetes
312,MLA6558,Peloteros y Castillos,3845,MLA1132,Juegos y Juguetes
313,MLA1166,Peluches,32110,MLA1132,Juegos y Juguetes
314,MLA433047,Títeres y Marionetas,2419,MLA1132,Juegos y Juguetes
315,MLA432871,Vehículos de Juguete,116629,MLA1132,Juegos y Juguetes
316,MLA6151,Vehículos Montables para Niños,10495,MLA1132,Juegos y Juguetes
317,MLA1910,Otros,80377,MLA1132,Juegos y Juguetes
318,MLA433385,Catálogos,3949,MLA3025,"Libros, Revistas y Comics"
319,MLA3043,Comics e Historietas,96688,MLA3025,"Libros, Revistas y Comics"
320,MLA412445,Libros,6399902,MLA3025,"Libros, Revistas y Comics"
321,MLA3044,Manga,24409,MLA3025,"Libros, Revistas y Comics"
322,MLA1955,Revistas,188228,MLA3025,"Libros, Revistas y Comics"
323,MLA1227,Otros,900549,MLA3025,"Libros, Revistas y Comics"
324,MLA445795,Cursos,2609,MLA1168,"Música, Películas y Series"
325,MLA1174,Música,1115951,MLA1168,"Música, Películas y Series"
326,MLA13508,Películas,149631,MLA1168,"Música, Películas y Series"
327,MLA7841,Series de TV,17048,MLA1168,"Música, Películas y Series"
328,MLA1228,Otros,23560,MLA1168,"Música, Películas y Series"
329,MLA3114,Accesorios de Moda,154512,MLA1430,Ropa y Accesorios
330,MLA109276,Bermudas y Shorts,34138,MLA1430,Ropa y Accesorios
331,MLA417226,Blusas,20896,MLA1430,Ropa y Accesorios
332,MLA109085,Buzos y Hoodies,37494,MLA1430,Ropa y Accesorios
333,MLA109026,Calzado,378682,MLA1430,Ropa y Accesorios
334,MLA95955,Calzas,13947,MLA1430,Ropa y Accesorios
335,MLA417218,Camisas,44302,MLA1430,Ropa y Accesorios
336,MLA109096,"Camperas, Tapados y Trenchs",92012,MLA1430,Ropa y Accesorios
337,MLA109254,Enteritos,7202,MLA1430,Ropa y Accesorios
338,MLA110761,"Equipaje, Bolsos y Carteras",169176,MLA1430,Ropa y Accesorios
339,MLA413460,Lotes de Ropa,7716,MLA1430,Ropa y Accesorios
340,MLA109282,"Pantalones, Jeans y Joggings",81479,MLA1430,Ropa y Accesorios
341,MLA373771,Polleras,24223,MLA1430,Ropa y Accesorios
342,MLA109042,"Remeras, Musculosas y Chombas",339627,MLA1430,Ropa y Accesorios
343,MLA417479,Ropa de Danza y Patinaje,464,MLA1430,Ropa y Accesorios
344,MLA6839,Ropa Deportiva,42311,MLA1430,Ropa y Accesorios
345,MLA109278,Ropa Interior y de Dormir,100786,MLA1430,Ropa y Accesorios
346,MLA1455,Ropa y Calzado para Bebés,9596,MLA1430,Ropa y Accesorios
347,MLA109081,"Saquitos, Sweaters y Chalecos",54465,MLA1430,Ropa y Accesorios
348,MLA109089,Trajes,5762,MLA1430,Ropa y Accesorios
349,MLA109270,Trajes de Baño,30822,MLA1430,Ropa y Accesorios
350,MLA12554,Uniformes y Ropa de Trabajo,28317,MLA1430,Ropa y Accesorios
351,MLA373770,Vestidos,69831,MLA1430,Ropa y Accesorios
352,MLA1911,Otros,17248,MLA1430,Ropa y Accesorios
353,MLA5395,Cuidado de la Salud,53769,MLA409431,Salud y Equipamiento Médico
354,MLA6556,Equipamiento Médico,59768,MLA409431,Salud y Equipamiento Médico
355,MLA29912,Masajes,6370,MLA409431,Salud y Equipamiento Médico
356,MLA435066,Movilidad,6442,MLA409431,Salud y Equipamiento Médico
357,MLA401562,Ortopedia,12798,MLA409431,Salud y Equipamiento Médico
358,MLA8830,Suplementos Alimenticios,26188,MLA409431,Salud y Equipamiento Médico
359,MLA43719,Terapias Alternativas,20622,MLA409431,Salud y Equipamiento Médico
360,MLA409463,Otros,2513,MLA409431,Salud y Equipamiento Médico
361,MLA414050,Asesoramiento Contable y Legal,705,MLA1540,Servicios
362,MLA10514,Belleza y Cuidado Personal,1183,MLA1540,Servicios
363,MLA414051,Comunicación y diseño,527,MLA1540,Servicios
364,MLA43986,Cursos y Clases,1533,MLA1540,Servicios
365,MLA91058,Delivery,232,MLA1540,Servicios
366,MLA1550,Fiestas y Eventos,1960,MLA1540,Servicios
367,MLA122264,"Fotografía, Música y Cine",311,MLA1540,Servicios
368,MLA122258,Hogar y Construcción,6043,MLA1540,Servicios
369,MLA56666,Imprenta,228,MLA1540,Servicios
370,MLA9007,Mantenimiento de Vehículos,979,MLA1540,Servicios
371,MLA111029,Medicina y Salud,773,MLA1540,Servicios
372,MLA91088,Ropa y Moda,188,MLA1540,Servicios
373,MLA11798,Servicios para Mascotas,925,MLA1540,Servicios
374,MLA91083,Servicios para Oficinas,177,MLA1540,Servicios
375,MLA122201,Tecnología,1584,MLA1540,Servicios
376,MLA9038,Transporte,1956,MLA1540,Servicios
377,MLA1229,Viajes y Turismo,465,MLA1540,Servicios
